0.2887 (+/-0.014) for {'classifier__C': 0.03125, 'classifier__class_weight': None, 'classifier__gamma': 0.125, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.2887 (+/-0.014) for {'classifier__C': 0.03125, 'classifier__class_weight': None, 'classifier__gamma': 0.125, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.2887 (+/-0.014) for {'classifier__C': 0.03125, 'classifier__class_weight': None, 'classifier__gamma': 0.125, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.2886 (+/-0.014) for {'classifier__C': 0.03125, 'classifier__class_weight': None, 'classifier__gamma': 0.125, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.2886 (+/-0.014) for {'classifier__C': 0.03125, 'classifier__class_weight': None, 'classifier__gamma': 0.125, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.2886 (+/-0.014) for {'classifier__C': 0.03125, 'classifier__class_weight': None, 'classifier__gamma': 0.125, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.2888 (+/-0.013) for {'classifier__C': 0.03125, 'classifier__class_weight': None, 'classifier__gamma': 0.125, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.2888 (+/-0.013) for {'classifier__C': 0.03125, 'classifier__class_weight': None, 'classifier__gamma': 0.125, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.2888 (+/-0.013) for {'classifier__C': 0.03125, 'classifier__class_weight': None, 'classifier__gamma': 0.125, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.03125, 'classifier__class_weight': None, 'classifier__gamma': 0.25, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.03125, 'classifier__class_weight': None, 'classifier__gamma': 0.25, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.03125, 'classifier__class_weight': None, 'classifier__gamma': 0.25, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.03125, 'classifier__class_weight': None, 'classifier__gamma': 0.25, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.03125, 'classifier__class_weight': None, 'classifier__gamma': 0.25, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.03125, 'classifier__class_weight': None, 'classifier__gamma': 0.25, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.03125, 'classifier__class_weight': None, 'classifier__gamma': 0.25, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.03125, 'classifier__class_weight': None, 'classifier__gamma': 0.25, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.03125, 'classifier__class_weight': None, 'classifier__gamma': 0.25, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.03125, 'classifier__class_weight': None, 'classifier__gamma': 0.5, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.03125, 'classifier__class_weight': None, 'classifier__gamma': 0.5, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.03125, 'classifier__class_weight': None, 'classifier__gamma': 0.5, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
